Item Code,Description
6100020015,ACETAZOLAMIDE 500MG INJECTION 1'S (N)
6680130001,ACETYLCYSTEINE 200MG/ML (20%) AMP 10ML 1'S
6020020001,ANEXATE 0.5 MG INJ AMP 1'S
6590080016,DEXTROSE-50% IV-50ML
6240070015,SOLUMEDROL-125MG INJECTION-1'S
6560020068,ROFENAC 12.5 MG SUP 10'S
6180010134,PAMP (3) 6*17
6180010132,PAMP (5) 6*14
6090020075,FEVADOL 100 MG SUP 10'S
6090020016,FEVADOL 200 MG SUP 10'S
6090020017,FEVADOL 350 MG SUP 10'S
6260210004,FLUORESCINE SOD.2%-0.5 ML DRP (MINIMS -20'S)
6020060008,TEKEM-50MG INJECTION-1'S(KETAMIN)
6200060004,SALINOSE 0.9% PED ND 20 ML
6100010214,HYDRALAZINE HCL 20 MG INJ 1'S (N)
6720330003,ROBINUL-(GLYCOPYRRONIUM BROMIDE 200 mcg/ml) 0.2MG AMP 1ml-1'S
6100180002,DOPAMINE 200MG INJ 1'S(N)(DIS)
6100100004,NITROGLYCERIN (GLYCERYL TRINITRATE) 5MG/ML INJ 10ML 1'S(N)
6100080031,CORDARONE 150MG/3ML AMP (3ml) 1'S
6020050001,DANTRIUM IV 20MG (N)
6020070001,DORMICUM -(MIDAZOLAM 5MG/ML) 15 MG / 3 ML AMP -1'S
6090300006,DIAZEPAM 10MG /2ML INJECTION-1'S(DIS)
6580040001,STERILE WATER ORAL-90ML(BABY)
6610060007,PROSTIN.VR-500MCG INJ-1'S
6260070023,OPTIFLOX 0.3% ED 5 ML
6260190002,TROPICAMIDE 1% DRP ( MINIMS -20'S)
6100010230,LABETALOL HYDROCHLORIDE 100MG /20ML INJ 1'S (N)
6020040004,MARCAINE 0.5% HEAVY 4ML 5'S (N)
6450020138,ZINOXIME 750MG INJECTION
6590010049,FOLIC ACID 5 MG TAB 20'S
6450020137,ZINOXIME 1.5 GM INJECTION
6580010104,SODIUM NITROPRUSSIDE 50MG INJ (N)
6680010054,XYLOMET 0.05% PEDIA ND 15 ML
6450020089,FOXIME 1GM  IV-INJECTION
6450070133,KLAVOX 1 G TAB 14'S
6260070033,CIPROCIN 0.3% ED 5 ML
6090010073,CHLORPROMAZINE 25MG/ML 1'S (N)
6100050008,PLAVIX 75 MG TAB 28'S
6680010053,XYLOMET ADLT ND 15 ML
6260020040,MIOSTAT INTRAOCULAR SOL -1.5ML (N)(DIS)
6680030018,DIPHENHYDRAMINE 50 MG/ML AMP 1'S(N)
6100080030,ADENOCOR 6MG /2ML VIAL-1'S
6090040007,DOMPY 10 MG TAB 30'S
6450020123,TAZOCIN 4.5 GM VIAL -1'S
6100070020,CLEXANE 40 MG PFS 2'S
6450020081,DALACIN(CLINDAMYCIN) 300MG/2ML INJ -1'S
6450070054,CEFUZIME 500 MG TAB 10'S
6340030152,PANTOZOL 40MG IV INJ VIAL 1'S
6100180003,ISOPROTERENOL 0.2 MG/ ML AMP 1'S (N)
6560110002,ESMERON 10 MG/ML VIAL -1'S
6260070013,MYDFRIN 2.5% ED 5 ML
6020060001,DESFLURANE (SUPRANE) - 240ML
6090240003,KEMADRIN 5 MG TAB 1'S
6560020063,ROFENAC 25 MG SUP 10'S
6370070040,BIRGITT 201 H/ BRUSH
6020030002,NIMBEX 2MG/ML -10 ML VIAL- 5'S
6450020062,AMPICILLIN 1GM INJ VIAL 1'S
6020040006,METHYLENE BLUE 1% -5ML (N)
6340160026,GAVISCON SUS 200 ML
6560010002,RIALOCAINE 2% GEL 20 G
6820050004,MEBO OIN 75 G
6090270005,PROPOFOL 1% (I.V INJ OR INF) 20ML AMP 5'S
6450020069,BLEOMYCIN 15 IU INJECTION (N)
6340200011,METOCLOPRAMIDE 10 MG INJ AMP 1'S (N)
6020080002,NEOSTIGMINE 2.5 MG / ML INJ 1'S
6450020133,VANCOLON 0.5GM  INJECTION
6340240003,URSOFALK 250 MG CAP 50'S
6100290001,PROSULF (PROTAMINE) SULPHATE (1%) 10 MG / ML AMP INJ 1'S
6340090024,SCOPINAL 20 MG/ML INJ.5'S
6020040001,BUCAINE 0.5%(BUPIVACAINE) 20ML -1'S
6100070021,CLEXANE 80 MG PFS 2'S
6680040005,VENTOLIN 0.5MG/ML INJ(IV) 1ML AMP-1'S
6260020036,APICARPIN 2% ED 10 ML
6260070024,OPTIFUCIN 1% VISCOUS ED 5 G
6240070007,FLUDROCORTISONE 0.1 MG TAB 100'S (N)
6180010138,PAMP (6) 2*36
6560030056,XEFO 8 MG INJ IM / IV
6590040004,NORMAL SALINE AMPULES 10ML
6590080028,HUMAN ALBUMIN 5% VIAL -250ML(BAXTER)
6090090071,RIVOTRIL 0.5 MG TAB 1'S
6450020070,CEFAZOLIN 1 GM (ZOLECIN) IV INJECTION
6450020122,TAVANIC 500MG /100ML INJECTION - 1'S
6430020043,VAXIGRIP Tetra 15mcg IM 0.5ml PFS 1'S
6100220001,ACTILYSE TREATMENT SET (TPA)-50 MG IV INJ 2'S
6090270002,MIDAZOLAM 15MG/3MLS INJ -1'S
6090040025,DANSETRON (ONDANSETRON) 4MG/2ML INJ
6260070030,VIGAMOX 0.5% ED 5 ML
6340030150,NEXIUM 40 MG/5 ML VIAL I.V. INJ 1'S
6020040009,XYLOCAIN 2%(WITHOUT PRESERVATIVE) 10 ML INJ-1'S
6450020100,MERONEM 1 GM INJECTION
6560040018,VOLTAREN 75 MG AMP 5'S
6090250001,BOTOX 100 IU 1ML VIAL 1'S
6170030005,ACCUCHEK SAFE T PRO UNO BGM LCT 200'S
6090090055,KEPPRA 100 MG/ML ORAL SOLN 300 ML
6450020082,DALACIN(CLINDAMYCIN) 600MG/4ML VIAL
6300010215,PANTY PAPER XXXL-7S
6300010216,PANTY PAPER XXXXL -7S
6100010220,DILTIAZEM 5MG/ML INJECTION- 1'S (N)
6100010221,METOPROLOL 1MG/ML 5MLS AMP (N)
6720240001,AVOCAINE 10% SPR 50 ML
6260240002,OXYBUPROCAINE 0.4% DRP ( MINIMS -20'S)
6580010310,SODIUM CHLORIDE 14.61% VIAL-50ML
6180010137,PAMP (6) 2*48
6430020044,VERORAB (RABIES VACCINE)0.5ML SYRING
6610060006,PROSTIN E2 (1MG) VAGINAL GEL IN APPLICATOR 1'S
6230010002,ANTI-VENUM(SCORPION) INJ 1ml AMP 1'S
6230010001,ANTI-VENUM (SNAKE) INJ 10ml AMP 1'S
6500010004,SANDOSTATIN (OCTREOTIDE) 0.1MG/ML INJ. 1'S
6590020041,THIAMINE 100 MG/ 2ML INJ (IV) -2ML AMP 1'S (N)
6590010104,METHYCOBAL 500 MCG INJ 1'S
6450030071,ZOVIRAX 250 MG INJ 1'S
6580010311,SODIUM CHLORIDE(3%) IV 500ML
6100010224,PHENYLEPHRINE 10MG/ML INJECTION- 1'S (N)
6100260003,VASOPRESSIN 20UNITS/ML(IV) INJ. 1'S (N)
6020060002,ETOMIDATE 2MG/ML VIAL 10ML INJ 1'S(N)
6230030001,DESFERAL-500MG INJ. 1'S
6450020139,ZITHROMAX-500MG INJ. 1'S
6610060008,PROSTIN E2 (2MG) VAGINAL GEL IN APPLICATOR 1'S
6610060004,PABAL 100 MCG / 1ML AMP 1'S
6090090070,RIVOTRIL (CLONAZEPAM) 2.5 MG/ML DROPS
6440010012,TENAFLEX PLUS EXTRA LARGE 3*30PCS
6180010045,BABYJOY VALUE NEWBORN (4*44)
6230020001,ATROPINE 0.5 MG/ML INJ 1 ML AMP-1'S
6450020076,CIPROFLOXACIN 400MG/200ML(CIFLOX)
6450020110,PRIZMA 4.5GM (PIPERACILLIN/TAZOBACTAM) VIAL 1'S
6450020058,AMOCLAN 1.2 GM VIAL
6090090062,DEPAKINE IV 400MG/4ML INJECTION
6390050001,FRESCOPAD COOLING GEL SHEET 4'S
6260250002,TETRACAINE 1% MINIMS EYE DROPS
6340280002,ACTIVATED CHARCOAL FOR ORAL SUSPENSION 50G (N)
6240080009,PREDO 15 MG/ 5 ML SYR 120 ML
6590020037,POTASSIUM CHLORIDE 15% VIAL 20 ML
6260200001,DISCOVISC 1 % 0.85 MLS FOR OPHTHALMIC(N)
6590080004,AMINOVEN 15% (ADULT) 500ML
6580050001,GLYCOPHOS (216MG/ML) VIAL 20ML 1'S
6690010016,EPICURE CREAM -50ML
6260210001,FLUORESCEIN SODIUM EYE STRIPS 100'S (N)
6100050012,BRILINTA 90 MG TAB 56'S
6340030153,RISEK 40MG VIAL
6100120002,MINIRIN (DESMOPRESSIN) INJ 4MCG/ML (N)
6090020027,PANADOL (BLUE) 500 MG TAB 24'S
6100260002,NORADRENALINE 4 MG/4 ML INJECTION 1'S(N)
6180010107,PAMP (2) 3*64
6240090094,GNRH FOR (LHRH TESTING)-FERRING
3020210013,NEEDLES INJECTION HYPODERMIC ULTRA THIN WALL 20G X25MM STERILE DISPOSABLE
3020210014,NEEDLES INJECTION HYPODERMIC 18GX38MM STERILE DISPOSABLE
3020210015,NEEDLES INJECTION HYPODERMIC THIN WALL 19GX38MM STERILE DISPOSABLE
3020210004,NEEDLES INJECTION EPIDURAL SPINAL ANESTHESIA G18X1.3MM STERILE DISPOSABLE
3020210016,NEEDLES INJECTION HYPODERMIC ULTRA THIN WALL 21GX38MM STERILE DISPOSABLE
3020210005,NEEDLES INJECTION HYPODERMIC ULTRA THIN WALL 23GX38MM STERILE DISPOSABLE
3020210008,SCALP VEIN SET NEEDLE BUTTERFLY 24G STERILE DISPOSABLE
3020210009,SCALP VEIN SET NEEDLE BUTTERFLY 19G STERILE DISPOSABLE
3020210010,SCALP VEIN SET NEEDLE BUTTERFLY 21G STERILE DISPOSABLE
3020210017,NEEDLES INJECTION HYPODERMIC ULTRA THIN WALL 22GX25MM STERILE DISPOSABLE
3020210018,NEEDLES INJECTION HYPODERMIC THIN WALL 23G X25MM STERILE DISPOSABLE
3020210019,NEEDLES INJECTION HYPODERMIC REGULAR WALL 26GX12.5MM STERILE DISPOSABLE
3020210020,NEEDLES INJECTION HYPODERMIC REGULAR WALL 27GX12.5MM STERILE DISPOSABLE
3020210021,NEEDLES INJECTION HYPODERMIC 30GX12.5MM STERILE DISPOSABLE
3020210025,NEEDLES INJECTION HYPODERMIC 25GX25MM STERILE DISPOSABLE
3020210026,NEEDLES ASPIRATION/INJECTION SPINAL NEEDLE SPIL 22G x 89MM STERILE DISPOSABLE
3020210027,NEEDLES ASPIRATION/INJECTION SPINAL NEEDLE SPIL 25GX90MM STERILE DISPOSABLE
3020210023,NEEDLES INJECTION HYPODERMIC ULTRA THIN WALL 25Gx16MM STERILE DISPOSABLE
3020210028,NEEDLES ASPIRATION/INJECTION SPINAL NEEDLE SPIL 19GX89MM BROWN STERILE DISPOSABLE
3020210030,NEEDLES ASPIRATION/INJECTION SPINAL NEEDLE SPIL WITHOUT INTRODUCER 20GX89MM STERILE DISPOSABLE
3020210038,NEEDLES ASPIRATION/INJECTION SPINAL NEEDLE SPIL PENCIL POINT 25GX103MM STERILE DISPOSABLE
3020210033,NEEDLES ASPIRATION/INJECTION SPINAL NEEDLE SPIL WITHOUT INTRODUCER 22GX38MM STERILE DISPOSABLE
3020210034,NEEDLES ASPIRATION/INJECTION SPINAL NEEDLE SPIL 23GX89MM STERILE DISPOSABLE
3020230012,CANNULA NASAL DELIVER OXYGEN PEDIATRIC STERILE DISPOSABLE
3020230026,(PLEASE DON'T USE) USE #3020230048 CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE SIZE 20FR STERILE DISPOSABLE
3020230025,(PLEASE DON'T USE) USE #3020230047 CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE SIZE 18FR STERILE DISPOSABLE
3020230028,CATHETERS URINARY URETHRAL DRAINAGE SILICONE 2-WAY BALLOON 5CC SIZE 14FR STERILE DISPOSABLE
3020230029,CATHETERS URINARY URETHRAL DRAINAGE SILICONE 2-WAY BALLOON 5CC SIZE 16FR STERILE DISPOSABLE
3020230030,CATHETERS URINARY URETHRAL DRAINAGE SILICONE 2-WAY BALLOON 5CC SIZE 18FR STERILE DISPOSABLE
3020230032,CATHETERS URINARY DRAINAGE SHORT TERM NELATON 10FR LENGTH 40CM STERILE DISPOSABLE
3020230038,CATHETERS URINARY DRAINAGE SHORT TERM NELATON 18FR LENGTH 40CM STERILE DISPOSABLE
3020230043,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 10FR STERILE DISPOSABLE
3020230044,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 12FR STERILE DISPOSABLE
3020230045,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 14FR STERILE DISPOSABLE
3020230046,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 16FR STERILE DISPOSABLE
3020230047,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 18FR STERILE DISPOSABLE
3020230048,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 20FR STERILE DISPOSABLE
3020230050,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 6FR STERILE DISPOSABLE
3020230051,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 2-WAY SIZE 8FR STERILE DISPOSABLE
3020230058,CONDOM MALE LARGE STERILE DISPOSABLE
3020230053,CATHETERS URINARY URETHRAL DRAINAGE STANDARD SILICONE LATEX FREE 3-WAY SIZE 22FR STERILE DISPOSABLE
3020230054,CATHETERS CENTRAL VENOUS TRIPLE LUMEN 7FRX16CM STERILE DISPOSABLE
3020230059,CONDOM MALE MEDIUM STERILE DISPOSABLE
3020230060,CONDOM MALE SMALL STERILE DISPOSABLE
3020230062,VACUUM SUCTION EXTRACTOR FETAL STERILE DISPOSABLE
3020230063,CANNULA IV WITH LUER LOCK AND WINGS 16GX45MM GREY STERILE DISPOSABLE
3020230064,CANNULA IV STRAIGHT 24GX19MM YELLOW STERILE DISPOSABLE
3020230065,CANNULA IV WITH LUER LOCK AND WINGS 20GX32MM PINK STERILE DISPOSABLE
3020230066,CANNULA IV WITH LUER LOCK AND WINGS 22GX25MM BLUE STERILE DISPOSABLE
3020230067,STYLETS INTUBATION TRACHEAL ADULT SIZE 4.0MMX340MM STERILE DISPOSABLE
3020230068,STYLETS INTUBATION TRACHEAL NEONATAL SIZE 2.2MMX225MM STERILE DISPOSABLE
3020230069,SUCTION TIPS WITH FILTER ORTHOPAEDIC STERILE DISPOSABLE
3020230071,CANISTER SUCTION LINER GRADUATED WITH POP TOP LID 1000ML STERILE DISPOSABLE
3020230077,CATHETERS SUCTION 16FR STERILE DISPOSABLE
3020230072,CANISTER SUCTION LINER GRADUATED WITH POP TOP LID 1500ML STERILE DISPOSABLE
3020230073,CANISTER SUCTION LINER WITH SOLIDIFIER 2500ML STERILE DISPOSABLE
3020230074,CATHETERS SUCTION 10FR STERILE DISPOSABLE
3020230081,CATHETERS SUCTION 6FR STERILE DISPOSABLE
3020230075,CATHETERS SUCTION 12FR STERILE DISPOSABLE
3020230076,CATHETERS SUCTION 14FR STERILE DISPOSABLE
3020230082,CATHETERS SUCTION 8FR STERILE DISPOSABLE
3020230083,SUCTION TIPS COAGULATOR 10FR STERILE DISPOSABLE
3020210051,SYRINGE PLUNGER ARTERIAL BLOOD GAS SAMPLING WITH LUER LOCK 2.5-3ML STERILE DISPOSABLE
3020210048,SYRINGE ECCENTRIC TIP W/O NEEDLE INDIVIDUAL PEEL BACK WRAP 20ML STERILE DISPOSABLE
3020210049,SYRINGE ECCENTRIC LUER TIP W/O NEEDLE INDIVIDUAL PEEL BACK WRAP 5ML STERILE DISPOSABLE
3020210050,SYRINGE PLUNGER TUBERCULIN/ALLERGY LUER TIP 1ML WITH NEEDLE INDIVIDUAL PEEL BACK WRAP 25G STERILE DISPOSABLE
3020210053,SYRINGE PLUNGER INSULIN 1ML WITH NEEDLE INDIVIDUAL PEEL BACK WRAP 29G STERILE DISPOSABLE
3020210054,SYRINGE PLUNGER LUER LOCK 3ML W NEEDLE INDIVIDUAL PEEL BACK WRAP 23G STERILE DISPOSABLE
3020230085,ASPIRATOR ORAL/NASAL FLEXIBLE TIP THUMB VALVE VENT INFANT STERILE DISPOSABLE
3020230087,CANISTER SUCTION LINER GRADUATED WITH POP TOP LID 2000ML STERILE DISPOSABLE
3020230090,TUBES SUCTION YANKAUER FINE TIP MINI SET 60CM STERILE DISPOSABLE
3020230094,CATHETERS PLEURAL 8FR STERILE DISPOSABLE
3020210055,SYRINGE PLUNGER LUER LOCK 5ML W NEEDLE INDIVIDUAL PEEL BACK WRAP 22G STERILE DISPOSABLE
3020210064,SCALP VEIN SET WITH NEEDLE 23G AND EXTENSION TUBE 19MM BLUE STERILE DISPOSABLE
3020210056,SYRINGE PLUNGER LUER LOCK STANDARD TIP 10ML WITH NEEDLE 21G STERILE DISPOSABLE
3020210057,SYRINGE LUER LOCK W/O NEEDLE INDIVIDUAL PEEL BACK WRAP 20ML STERILE DISPOSABLE
3020210058,SYRINGE CATHETER TIP W/O NEEDLE INDIVIDUAL PEEL BACK WRAP 50-60ML STERILE DISPOSABLE
3020210065,CANNULA IV STRAIGHT 26GX19MM PURPLE STERILE DISPOSABLE
3020210063,INTRAVENOUS ADMINISTRATION SETS NON-CORING NEEDLE WITH 2 INJECTION SITE STERILE DISPOSABLE
3020210066,CANNULA IV WITH LUER LOCK AND WINGS 18GX45MM GREEN STERILE DISPOSABLE
3020230095,BOUGIE ENDOTRACHEAL TUBE 6CM-70CM NON-STERILE DISPOSABLE
3020230097,DRESSINGS NON-IMPREGNATED SYNTHETIC TRACHEOSTOMY 9X9CM STERILE DISPOSABLE
3020210068,I.V GIVING SET 150ML STERILE DISPOSABLE
3020210074,SYRINGE PLUNGER LUER LOCK 50-60ML W/O NEEDLE INDIVIDUAL PEEL BACK WRAP STERILE DISPOSABLE
3020230106,TUBES NASOGASTRIC FEEDING DOUBLE LUMEN 16FRX105CM STERILE DISPOSABLE
3020230112,TUBES MIDDLE EAR MYRINGOTOMY VENTILATION SHAH 0.76MM STERILE DISPOSABLE (5’s)
3020220006,BLADDER-IRRIGATION SET DOUBLE LATEX FREE STERILE DISPOSABLE
3020220007,PACK CYSTOSCOPY II STERILE DISPOSABLE
3020220008,BLADDER-IRRIGATION SET SINGLE STERILE DISPOSABLE
3020230121,CATHETERS UMBILICAL NEONATAL 3.5FR STERILE DISPOSABLE
3020230122,CATHETERS UMBILICAL NEONATAL 5FR STERILE DISPOSABLE
3020230124,URINARY COLLECTION BAGS LEG 600ML STERILE DISPOSABLE
3020230125,URINARY COLLECTION BAGS 2500ML WITH METER 500ML STERILE DISPOSABLE
3020220015,SUTURE UNITS AUTOMATED CLIP APPLIER LAPAROSCOPIC 5MM STERILE DISPOSABLE
3020220018,PROCEDURE KIT/TRAYS LUMBAR PUNCTURE PEDIATRIC STERILE DISPOSABLE
3020220023,PACK SURGICAL DELIVERY STERILE DISPOSABLE
3020230130,CANNULA NASAL DELIVER OXYGEN ADULT STERILE DISPOSABLE
3020230131,CANNULA NASAL DELIVER OXYGEN NEONATAL STERILE DISPOSABLE
3020230132,ARTIFICIAL AIRWAYS OROPHARYNGEAL GRAY BITE BLOCK SIZE 0 ( 55MM) STERILE DISPOSABLE
3020230133,ARTIFICIAL AIRWAYS OROPHARYNGEAL BLUE BITE BLOCK SIZE 00 ( 50MM) STERILE DISPOSABLE
3020230134,ARTIFICIAL AIRWAYS OROPHARYNGEAL WHITE BITE BLOCK SIZE 1 (65MM) STERILE DISPOSABLE
3020230135,ARTIFICIAL AIRWAYS OROPHARYNGEAL GREEN BITE BLOCK PEDIATRIC SIZE 2 STERILE DISPOSABLE
3020230136,ARTIFICIAL AIRWAYS OROPHARYNGEAL GREEN BITE BLOCK PEDIATRIC SIZE 3 STERILE DISPOSABLE
3020220027,PACK SURGICAL ORTHO LOWER EXTREMITY III STERILE DISPOSABLE
3020220036,SURGICAL DRAPES INCISION ANTIMICROBIAL DRAPE 60X45CM STERILE DISPOSABLE
3020220037,SURGICAL DRAPES SPLIT IMPERVIOUS 152CMX177CM STERILE DISPOSABLE
3020220042,ABSORPTION PADS MENSTRUATION HYPOALLERGENIC REGULAR UNSCENTED NON-STERILE DISPOSABLE
3020220045,SURGICAL DRAPES EENT SPLIT SHEET 193CMX304CM STERILE DISPOSABLE
3020220047,SURGICAL DRAPES LAPAROSCOPIC CHOLE WITH POUCH 259CMX193CMX304CM STERILE DISPOSABLE
3020220050,SURGICAL DRAPES LAPAROSCOPIC SHEET PEDIATRIC STERILE DISPOSABLE
3020220051,SURGICAL DRAPES SPINAL 80CM X120CM STERILE DISPOSABLE
3020220055,SURGICAL DRAPES HALF 152CM X111CM STERILE DISPOSABLE
3020220056,PACK SURGICAL LITHOTOMY I STERILE DISPOSABLE
3020220060,SURGICAL DRAPES MEDIUM 193CMX111CM STERILE DISPOSABLE
3020220061,SURGICAL DRAPES WITH INCISE FILM SMALL10CMX12.5CM STERILE DISPOSABLE
3020220062,SURGICAL DRAPES WITH INCISE FILM SMALL 60CMX45CM STERILE DISPOSABLE
3020220063,SURGICAL DRAPES TRANSVERSE LAP SHEET STERILE DISPOSABLE
3020230002,EXTENSION TUBE LUER LOCK COONECTOR FOR SYRINGE PUMPS 75CM STERILE DISPOSABLE
3020230006,BULB SUCTION RESERVOIR 100CC STERILE DISPOSABLE
3020250045,MASKS ANESTHESIA INFANT CLEAR INFANT SIZE 1 STERILE DISPOSABLE
3020250046,MASKS ANESTHESIA ADULT LARGE SIZE 5 STERILE DISPOSABLE
3020250048,MASKS ANESTHESIA ADULT MEDIUM SIZE 4 STERILE DISPOSABLE
3020250044,MASKS ANESTHESIA INFANT CLEAR NEONATE SIZE 0 STERILE DISPOSABLE
3020250058,CATHETERS WOUND DRAINAGE WITH TROCAR CHANNEL FULL FLUTED 19FR STERILE DISPOSABLE
3020250062,PROCEDURE KIT/TRAYS IRRIGATION/LAVAGE WOUND STERILE DISPOSABLE
3020250053,DRAINAGE SYSTEMS PLEURAL SUCTION CONTROL STOPCOCK DUAL COLLECTION STERILE DISPOSABLE
3020250054,DRAINAGE SYSTEMS PLEURAL STANDARD SINGLE COLLECTION STERILE DISPOSABLE
3020250055,DRAINAGE BAG ADHESIVE USE IN OPHTHALAMIC MICROSURGICAL 400ML STERILE DISPOSABLE
3020250056,CATHETERS WOUND DRAINAGE WITH TROCAR CHANNEL FULL FLUTED 10FR STERILE DISPOSABLE
3020250057,CATHETERS WOUND DRAINAGE WITH TROCAR CHANNEL FULL FLUTED 15FR STERILE DISPOSABLE
3020250071,SCROTAL SUPPORT  XL STERILE DISPOSABLE
3020250072,SCROTAL SUPPORT LARGE STERILE DISPOSABLE
3020250064,INTRAVENOUS LINE CONNECTORS 3-WAY FOR CVP STERILE DISPOSABLE
3020250073,SCROTAL SUPPORT MEDIUM NON-STERILE DISPOSABLE
3020250065,DRAINS WOUND SYSTEM SIZE CH14 OD 4.7MM ID 3.2MM BOTTLE CAPACITY 400ML STERILE DISPOSABLE
