Item Code,Description,Item Category,Oraganization,Sub Inventory,To Location,To Subinventory,Document Number,Transaction ID,Transaction DATE,SellingÂ  Price,Value of Selling Price,Lot Number,UOM,Transaction Type,Transaction Quantity,Transaction Cost,Transaction Value,Balance Quantity,Balance Value
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1133539265.0,12-02-2024,27.7,-27.7,457771.0,BOX,Issue to Patient,1.0,23.08241,-23.08241,6.0,138.49446
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1145494209.0,05-03-2024,27.7,-83.1,457774.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,34.0,784.80194
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1153625685.0,21-03-2024,27.7,-83.1,457774.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,51.0,1177.20291
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1156318867.0,27-03-2024,27.7,-83.1,457774.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,48.0,1107.95568
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1173730315.0,04-05-2024,27.7,-55.4,457774.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,46.0,1061.79086
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1174312887.0,05-05-2024,27.7,-83.1,457774.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,43.0,992.54363
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1174971652.0,06-05-2024,27.7,-55.4,457774.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,41.0,946.37881
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1178576169.0,13-05-2024,27.7,-55.4,457774.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,39.0,900.21399
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1178914279.0,13-05-2024,27.7,-55.4,457771.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,37.0,854.04917
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1179451119.0,14-05-2024,27.7,-55.4,457774.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,35.0,807.88435
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1181170190.0,18-05-2024,27.7,-138.5,457774.0,BOX,Issue to Patient,5.0,23.08241,-115.41205,30.0,692.4723
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1181520914.0,18-05-2024,27.7,-83.1,457774.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,27.0,623.22507
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1186725666.0,27-05-2024,27.7,-277.0,457774.0,BOX,Issue to Patient,10.0,23.08241,-230.8241,17.0,392.40097
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1186884818.0,27-05-2024,27.7,-83.1,457774.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,14.0,323.15374
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1186936930.0,27-05-2024,27.7,-55.4,457774.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,12.0,276.98892
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1186992962.0,27-05-2024,27.7,-83.1,457774.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,9.0,207.74169
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1189429423.0,01-06-2024,27.7,-55.4,457774.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,7.0,161.57687
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1193195597.0,07-06-2024,27.7,-27.7,457780.0,BOX,Issue to Patient,1.0,23.08241,-23.08241,46.0,1061.79086
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1194133753.0,09-06-2024,27.7,-83.1,457780.0,BOX,Issue to Patient,3.0,23.08241,-69.24723,43.0,992.54363
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1194820971.0,10-06-2024,27.7,-55.4,457780.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,41.0,946.37881
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1197752987.0,16-06-2024,27.7,-138.5,457780.0,BOX,Issue to Patient,5.0,23.08241,-115.41205,36.0,830.96676
6100010058,DILZEM RETARD 90 MG TAB 30'S,Medicine,Rayan ER Pharmacy,RYN_ERP,,,,1197830716.0,17-06-2024,27.7,-55.4,457780.0,BOX,Issue to Patient,2.0,23.08241,-46.16482,34.0,784.80194
